	StopTypes:
0	"CarPickupSetDownArea"
1	"NaptanAirAccessArea"
2	"NaptanAirEntrance"
3	"NaptanAirportBuilding"
4	"NaptanBusCoachStation"
5	"NaptanBusWayPoint"
6	"NaptanCoachAccessArea"
7	"NaptanCoachBay"
8	"NaptanCoachEntrance"
9	"NaptanCoachServiceCoverage"
10	"NaptanCoachVariableBay"
11	"NaptanFerryAccessArea"
12	"NaptanFerryBerth"
13	"NaptanFerryEntrance"
14	"NaptanFerryPort"
15	"NaptanFlexibleZone"
16	"NaptanHailAndRideSection"
17	"NaptanLiftCableCarAccessArea"
18	"NaptanLiftCableCarEntrance"
19	"NaptanLiftCableCarStop"
20	"NaptanLiftCableCarStopArea"
21	"NaptanMarkedPoint"
22	"NaptanMetroAccessArea"
23	"NaptanMetroEntrance"
24	"NaptanMetroPlatform"
25	"NaptanMetroStation"
26	"NaptanOnstreetBusCoachStopCluster"
27	"NaptanOnstreetBusCoachStopPair"
28	"NaptanPrivateBusCoachTram"
29	"NaptanPublicBusCoachTram"
30	"NaptanRailAccessArea"
31	"NaptanRailEntrance"
32	"NaptanRailPlatform"
33	"NaptanRailStation"
34	"NaptanSharedTaxi"
35	"NaptanTaxiRank"
36	"NaptanUnmarkedPoint"
37	"TransportInterchange"
